"Time","Area","Value","Metric","Category"
"1997K4"," Østsjælland","25.1","Index","Vacation house"
"1997K4"," Vest- og Sydsjælland","26.7","Index","Vacation house"
"1997K4"," Fyn","39.5","Index","Vacation house"
"1997K4"," Sydjylland","42.3","Index","Vacation house"
"1997K4"," Østjylland","36.6","Index","Vacation house"
"1997K4"," Vestjylland","49.3","Index","Vacation house"
"1997K4"," Nordjylland","40.3","Index","Vacation house"
"1998K1","Hele landet","37.1","Index","Vacation house"
"1998K1"," Byen København","0.0","Index","Vacation house"
"1998K1"," Københavns omegn","0.0","Index","Vacation house"
"1998K1"," Nordsjælland","27.2","Index","Vacation house"
"1998K1"," Bornholm","0.0","Index","Vacation house"
"1998K1"," Østsjælland","30.0","Index","Vacation house"
"1998K1"," Vest- og Sydsjælland","29.0","Index","Vacation house"
"1998K1"," Fyn","47.9","Index","Vacation house"
"1998K1"," Sydjylland","43.8","Index","Vacation house"
"1998K1"," Østjylland","37.4","Index","Vacation house"
"1998K1"," Vestjylland","54.4","Index","Vacation house"
"1998K1"," Nordjylland","40.2","Index","Vacation house"
"1998K2","Hele landet","38.5","Index","Vacation house"
"1998K2"," Byen København","0.0","Index","Vacation house"
"1998K2"," Københavns omegn","0.0","Index","Vacation house"
"1998K2"," Nordsjælland","28.4","Index","Vacation house"
"1998K2"," Bornholm","0.0","Index","Vacation house"
"1998K2"," Østsjælland","29.3","Index","Vacation house"
"1998K2"," Vest- og Sydsjælland","30.6","Index","Vacation house"
"1998K2"," Fyn","49.9","Index","Vacation house"
"1998K2"," Sydjylland","45.2","Index","Vacation house"
"1998K2"," Østjylland","38.5","Index","Vacation house"
"1998K2"," Vestjylland","54.1","Index","Vacation house"
"1998K2"," Nordjylland","42.7","Index","Vacation house"
"1998K3","Hele landet","39.4","Index","Vacation house"
"1998K3"," Byen København","0.0","Index","Vacation house"
"1998K3"," Københavns omegn","0.0","Index","Vacation house"
"1998K3"," Nordsjælland","30.0","Index","Vacation house"
"1998K3"," Bornholm","0.0","Index","Vacation house"
"1998K3"," Østsjælland","30.3","Index","Vacation house"
"1998K3"," Vest- og Sydsjælland","30.5","Index","Vacation house"
"1998K3"," Fyn","50.4","Index","Vacation house"
"1998K3"," Sydjylland","45.8","Index","Vacation house"
"1998K3"," Østjylland","41.2","Index","Vacation house"
"1998K3"," Vestjylland","52.4","Index","Vacation house"
"1998K3"," Nordjylland","43.6","Index","Vacation house"
"1998K4","Hele landet","39.7","Index","Vacation house"
"1998K4"," Byen København","0.0","Index","Vacation house"
"1998K4"," Københavns omegn","0.0","Index","Vacation house"
"1998K4"," Nordsjælland","30.2","Index","Vacation house"
"1998K4"," Bornholm","0.0","Index","Vacation house"
"1998K4"," Østsjælland","32.1","Index","Vacation house"
"1998K4"," Vest- og Sydsjælland","31.0","Index","Vacation house"
"1998K4"," Fyn","51.2","Index","Vacation house"
"1998K4"," Sydjylland","46.4","Index","Vacation house"
"1998K4"," Østjylland","41.5","Index","Vacation house"
"1998K4"," Vestjylland","51.2","Index","Vacation house"
"1998K4"," Nordjylland","45.0","Index","Vacation house"
"1999K1","Hele landet","39.9","Index","Vacation house"
"1999K1"," Byen København","0.0","Index","Vacation house"
"1999K1"," Københavns omegn","0.0","Index","Vacation house"
"1999K1"," Nordsjælland","30.4","Index","Vacation house"
"1999K1"," Bornholm","0.0","Index","Vacation house"
"1999K1"," Østsjælland","31.6","Index","Vacation house"
"1999K1"," Vest- og Sydsjælland","31.7","Index","Vacation house"
"1999K1"," Fyn","51.8","Index","Vacation house"
"1999K1"," Sydjylland","49.5","Index","Vacation house"
"1999K1"," Østjylland","40.4","Index","Vacation house"
"1999K1"," Vestjylland","53.0","Index","Vacation house"
"1999K1"," Nordjylland","44.7","Index","Vacation house"
"1999K2","Hele landet","41.6","Index","Vacation house"
"1999K2"," Byen København","0.0","Index","Vacation house"
"1999K2"," Københavns omegn","0.0","Index","Vacation house"
"1999K2"," Nordsjælland","31.9","Index","Vacation house"
"1999K2"," Bornholm","0.0","Index","Vacation house"
"1999K2"," Østsjælland","31.8","Index","Vacation house"
"1999K2"," Vest- og Sydsjælland","32.9","Index","Vacation house"
"1999K2"," Fyn","54.3","Index","Vacation house"
"1999K2"," Sydjylland","48.5","Index","Vacation house"
"1999K2"," Østjylland","43.5","Index","Vacation house"
"1999K2"," Vestjylland","55.9","Index","Vacation house"
"1999K2"," Nordjylland","46.1","Index","Vacation house"
"1999K3","Hele landet","43.1","Index","Vacation house"
"1999K3"," Byen København","0.0","Index","Vacation house"
"1999K3"," Københavns omegn","0.0","Index","Vacation house"
"1999K3"," Nordsjælland","32.0","Index","Vacation house"
"1999K3"," Bornholm","0.0","Index","Vacation house"
"1999K3"," Østsjælland","35.9","Index","Vacation house"
"1999K3"," Vest- og Sydsjælland","33.8","Index","Vacation house"
"1999K3"," Fyn","56.5","Index","Vacation house"
"1999K3"," Sydjylland","49.2","Index","Vacation house"
"1999K3"," Østjylland","44.2","Index","Vacation house"
"1999K3"," Vestjylland","57.3","Index","Vacation house"
"1999K3"," Nordjylland","49.0","Index","Vacation house"
"1999K4","Hele landet","41.6","Index","Vacation house"
"1999K4"," Byen København","0.0","Index","Vacation house"
"1999K4"," Københavns omegn","0.0","Index","Vacation house"
"1999K4"," Nordsjælland","30.5","Index","Vacation house"
"1999K4"," Bornholm","0.0","Index","Vacation house"
"1999K4"," Østsjælland","35.2","Index","Vacation house"
"1999K4"," Vest- og Sydsjælland","33.1","Index","Vacation house"
"1999K4"," Fyn","52.1","Index","Vacation house"
"1999K4"," Sydjylland","49.8","Index","Vacation house"
"1999K4"," Østjylland","44.1","Index","Vacation house"
"1999K4"," Vestjylland","54.0","Index","Vacation house"
"1999K4"," Nordjylland","47.3","Index","Vacation house"
"2000K1","Hele landet","42.6","Index","Vacation house"
"2000K1"," Byen København","0.0","Index","Vacation house"
"2000K1"," Københavns omegn","0.0","Index","Vacation house"
"2000K1"," Nordsjælland","34.6","Index","Vacation house"
"2000K1"," Bornholm","0.0","Index","Vacation house"
"2000K1"," Østsjælland","35.3","Index","Vacation house"
"2000K1"," Vest- og Sydsjælland","34.4","Index","Vacation house"
"2000K1"," Fyn","55.5","Index","Vacation house"
"2000K1"," Sydjylland","50.3","Index","Vacation house"
"2000K1"," Østjylland","45.3","Index","Vacation house"
"2000K1"," Vestjylland","54.0","Index","Vacation house"
"2000K1"," Nordjylland","48.9","Index","Vacation house"
"2000K2","Hele landet","44.8","Index","Vacation house"
"2000K2"," Byen København","0.0","Index","Vacation house"
"2000K2"," Københavns omegn","0.0","Index","Vacation house"
"2000K2"," Nordsjælland","35.9","Index","Vacation house"
"2000K2"," Bornholm","0.0","Index","Vacation house"
"2000K2"," Østsjælland","35.1","Index","Vacation house"
"2000K2"," Vest- og Sydsjælland","37.7","Index","Vacation house"
"2000K2"," Fyn","59.9","Index","Vacation house"
"2000K2"," Sydjylland","52.2","Index","Vacation house"
"2000K2"," Østjylland","46.1","Index","Vacation house"
"2000K2"," Vestjylland","56.6","Index","Vacation house"
"2000K2"," Nordjylland","51.0","Index","Vacation house"
"2000K3","Hele landet","47.0","Index","Vacation house"
"2000K3"," Byen København","0.0","Index","Vacation house"
"2000K3"," Københavns omegn","0.0","Index","Vacation house"
"2000K3"," Nordsjælland","38.4","Index","Vacation house"
"2000K3"," Bornholm","0.0","Index","Vacation house"
"2000K3"," Østsjælland","39.2","Index","Vacation house"
"2000K3"," Vest- og Sydsjælland","40.2","Index","Vacation house"
"2000K3"," Fyn","58.2","Index","Vacation house"
"2000K3"," Sydjylland","52.4","Index","Vacation house"
"2000K3"," Østjylland","49.6","Index","Vacation house"
"2000K3"," Vestjylland","58.1","Index","Vacation house"
"2000K3"," Nordjylland","52.3","Index","Vacation house"
"2000K4","Hele landet","45.9","Index","Vacation house"
"2000K4"," Byen København","0.0","Index","Vacation house"
"2000K4"," Københavns omegn","0.0","Index","Vacation house"
"2000K4"," Nordsjælland","37.2","Index","Vacation house"
"2000K4"," Bornholm","0.0","Index","Vacation house"
"2000K4"," Østsjælland","37.8","Index","Vacation house"
"2000K4"," Vest- og Sydsjælland","39.0","Index","Vacation house"
"2000K4"," Fyn","57.7","Index","Vacation house"
"2000K4"," Sydjylland","53.9","Index","Vacation house"
"2000K4"," Østjylland","48.6","Index","Vacation house"
"2000K4"," Vestjylland","58.0","Index","Vacation house"
"2000K4"," Nordjylland","49.7","Index","Vacation house"
"2001K1","Hele landet","47.3","Index","Vacation house"
"2001K1"," Byen København","0.0","Index","Vacation house"
"2001K1"," Københavns omegn","0.0","Index","Vacation house"
"2001K1"," Nordsjælland","38.3","Index","Vacation house"
"2001K1"," Bornholm","0.0","Index","Vacation house"
"2001K1"," Østsjælland","46.1","Index","Vacation house"
"2001K1"," Vest- og Sydsjælland","40.0","Index","Vacation house"
"2001K1"," Fyn","57.5","Index","Vacation house"
"2001K1"," Sydjylland","53.9","Index","Vacation house"
"2001K1"," Østjylland","49.9","Index","Vacation house"
"2001K1"," Vestjylland","58.7","Index","Vacation house"
"2001K1"," Nordjylland","53.3","Index","Vacation house"
"2001K2","Hele landet","48.6","Index","Vacation house"
"2001K2"," Byen København","0.0","Index","Vacation house"
"2001K2"," Københavns omegn","0.0","Index","Vacation house"
"2001K2"," Nordsjælland","41.3","Index","Vacation house"
"2001K2"," Bornholm","0.0","Index","Vacation house"
"2001K2"," Østsjælland","42.9","Index","Vacation house"
"2001K2"," Vest- og Sydsjælland","42.0","Index","Vacation house"
"2001K2"," Fyn","57.0","Index","Vacation house"
"2001K2"," Sydjylland","55.9","Index","Vacation house"
"2001K2"," Østjylland","49.1","Index","Vacation house"
"2001K2"," Vestjylland","57.6","Index","Vacation house"
"2001K2"," Nordjylland","53.7","Index","Vacation house"
"2001K3","Hele landet","50.2","Index","Vacation house"
"2001K3"," Byen København","0.0","Index","Vacation house"
"2001K3"," Københavns omegn","0.0","Index","Vacation house"
"2001K3"," Nordsjælland","42.3","Index","Vacation house"
"2001K3"," Bornholm","0.0","Index","Vacation house"
"2001K3"," Østsjælland","47.3","Index","Vacation house"
"2001K3"," Vest- og Sydsjælland","44.3","Index","Vacation house"
"2001K3"," Fyn","55.9","Index","Vacation house"
"2001K3"," Sydjylland","54.4","Index","Vacation house"
"2001K3"," Østjylland","50.1","Index","Vacation house"
"2001K3"," Vestjylland","61.1","Index","Vacation house"
"2001K3"," Nordjylland","54.2","Index","Vacation house"
"2001K4","Hele landet","49.1","Index","Vacation house"
"2001K4"," Byen København","0.0","Index","Vacation house"
"2001K4"," Københavns omegn","0.0","Index","Vacation house"
"2001K4"," Nordsjælland","41.1","Index","Vacation house"
"2001K4"," Bornholm","0.0","Index","Vacation house"
"2001K4"," Østsjælland","48.1","Index","Vacation house"
"2001K4"," Vest- og Sydsjælland","44.5","Index","Vacation house"
"2001K4"," Fyn","58.9","Index","Vacation house"
"2001K4"," Sydjylland","55.6","Index","Vacation house"
"2001K4"," Østjylland","49.9","Index","Vacation house"
"2001K4"," Vestjylland","58.8","Index","Vacation house"
"2001K4"," Nordjylland","51.6","Index","Vacation house"
"2002K1","Hele landet","50.3","Index","Vacation house"
"2002K1"," Byen København","0.0","Index","Vacation house"
"2002K1"," Københavns omegn","0.0","Index","Vacation house"
"2002K1"," Nordsjælland","41.9","Index","Vacation house"
"2002K1"," Bornholm","0.0","Index","Vacation house"
"2002K1"," Østsjælland","45.0","Index","Vacation house"
"2002K1"," Vest- og Sydsjælland","45.0","Index","Vacation house"
"2002K1"," Fyn","58.9","Index","Vacation house"
"2002K1"," Sydjylland","57.4","Index","Vacation house"
"2002K1"," Østjylland","49.1","Index","Vacation house"
"2002K1"," Vestjylland","58.7","Index","Vacation house"
"2002K1"," Nordjylland","55.9","Index","Vacation house"
"2002K2","Hele landet","52.6","Index","Vacation house"
"2002K2"," Byen København","0.0","Index","Vacation house"
"2002K2"," Københavns omegn","0.0","Index","Vacation house"
"2002K2"," Nordsjælland","43.6","Index","Vacation house"
"2002K2"," Bornholm","0.0","Index","Vacation house"
