"","Time","Area","Value","Metric","Type"
"149","1995K1"," Bornholm",0,"Index","Vacation house"
"150","1995K1"," Østsjælland",18.3,"Index","Vacation house"
"151","1995K1"," Vest- og Sydsjælland",22,"Index","Vacation house"
"152","1995K1"," Fyn",30.8,"Index","Vacation house"
"153","1995K1"," Sydjylland",36.2,"Index","Vacation house"
"154","1995K1"," Østjylland",27.9,"Index","Vacation house"
"155","1995K1"," Vestjylland",42.5,"Index","Vacation house"
"156","1995K1"," Nordjylland",32.5,"Index","Vacation house"
"157","1995K2","Hele landet",31.3,"Index","Vacation house"
"158","1995K2"," Byen København",0,"Index","Vacation house"
"159","1995K2"," Københavns omegn",0,"Index","Vacation house"
"160","1995K2"," Nordsjælland",18.4,"Index","Vacation house"
"161","1995K2"," Bornholm",0,"Index","Vacation house"
"162","1995K2"," Østsjælland",19.6,"Index","Vacation house"
"163","1995K2"," Vest- og Sydsjælland",22.7,"Index","Vacation house"
"164","1995K2"," Fyn",32.3,"Index","Vacation house"
"165","1995K2"," Sydjylland",35.4,"Index","Vacation house"
"166","1995K2"," Østjylland",28.1,"Index","Vacation house"
"167","1995K2"," Vestjylland",42.7,"Index","Vacation house"
"168","1995K2"," Nordjylland",33.6,"Index","Vacation house"
"169","1995K3","Hele landet",30.9,"Index","Vacation house"
"170","1995K3"," Byen København",0,"Index","Vacation house"
"171","1995K3"," Københavns omegn",0,"Index","Vacation house"
"172","1995K3"," Nordsjælland",18.3,"Index","Vacation house"
"173","1995K3"," Bornholm",0,"Index","Vacation house"
"174","1995K3"," Østsjælland",20.1,"Index","Vacation house"
"175","1995K3"," Vest- og Sydsjælland",22.8,"Index","Vacation house"
"176","1995K3"," Fyn",32.1,"Index","Vacation house"
"177","1995K3"," Sydjylland",33.9,"Index","Vacation house"
"178","1995K3"," Østjylland",27.6,"Index","Vacation house"
"179","1995K3"," Vestjylland",41.7,"Index","Vacation house"
"180","1995K3"," Nordjylland",33.7,"Index","Vacation house"
"181","1995K4","Hele landet",31.7,"Index","Vacation house"
"182","1995K4"," Byen København",0,"Index","Vacation house"
"183","1995K4"," Københavns omegn",0,"Index","Vacation house"
"184","1995K4"," Nordsjælland",19,"Index","Vacation house"
"185","1995K4"," Bornholm",0,"Index","Vacation house"
"186","1995K4"," Østsjælland",21.1,"Index","Vacation house"
