"Time","Area","Value","Metric","Category"
"1996K1"," Sydjylland","13.3","Pct_q","Vacation house"
"1996K1"," Østjylland","4.9","Pct_q","Vacation house"
"1996K1"," Vestjylland","8.4","Pct_q","Vacation house"
"1996K1"," Nordjylland","2.3","Pct_q","Vacation house"
"1996K2","Hele landet","3.4","Pct_q","Vacation house"
"1996K2"," Byen København","0.0","Pct_q","Vacation house"
"1996K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1996K2"," Nordsjælland","3.5","Pct_q","Vacation house"
"1996K2"," Bornholm","0.0","Pct_q","Vacation house"
"1996K2"," Østsjælland","7.5","Pct_q","Vacation house"
"1996K2"," Vest- og Sydsjælland","2.4","Pct_q","Vacation house"
"1996K2"," Fyn","7.5","Pct_q","Vacation house"
"1996K2"," Sydjylland","5.1","Pct_q","Vacation house"
"1996K2"," Østjylland","5.3","Pct_q","Vacation house"
"1996K2"," Vestjylland","-1.5","Pct_q","Vacation house"
"1996K2"," Nordjylland","4.0","Pct_q","Vacation house"
"1996K3","Hele landet","-0.3","Pct_q","Vacation house"
"1996K3"," Byen København","0.0","Pct_q","Vacation house"
"1996K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1996K3"," Nordsjælland","2.4","Pct_q","Vacation house"
"1996K3"," Bornholm","0.0","Pct_q","Vacation house"
"1996K3"," Østsjælland","-3.9","Pct_q","Vacation house"
"1996K3"," Vest- og Sydsjælland","-1.6","Pct_q","Vacation house"
"1996K3"," Fyn","0.6","Pct_q","Vacation house"
"1996K3"," Sydjylland","-1.7","Pct_q","Vacation house"
"1996K3"," Østjylland","1.6","Pct_q","Vacation house"
"1996K3"," Vestjylland","0.6","Pct_q","Vacation house"
"1996K3"," Nordjylland","-1.1","Pct_q","Vacation house"
"1996K4","Hele landet","2.1","Pct_q","Vacation house"
"1996K4"," Byen København","0.0","Pct_q","Vacation house"
"1996K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1996K4"," Nordsjælland","1.4","Pct_q","Vacation house"
"1996K4"," Bornholm","0.0","Pct_q","Vacation house"
"1996K4"," Østsjælland","4.1","Pct_q","Vacation house"
"1996K4"," Vest- og Sydsjælland","0.8","Pct_q","Vacation house"
"1996K4"," Fyn","6.9","Pct_q","Vacation house"
"1996K4"," Sydjylland","2.7","Pct_q","Vacation house"
"1996K4"," Østjylland","-1.6","Pct_q","Vacation house"
"1996K4"," Vestjylland","1.9","Pct_q","Vacation house"
"1996K4"," Nordjylland","2.5","Pct_q","Vacation house"
"1997K1","Hele landet","3.5","Pct_q","Vacation house"
"1997K1"," Byen København","0.0","Pct_q","Vacation house"
"1997K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1997K1"," Nordsjælland","4.1","Pct_q","Vacation house"
"1997K1"," Bornholm","0.0","Pct_q","Vacation house"
"1997K1"," Østsjælland","3.5","Pct_q","Vacation house"
"1997K1"," Vest- og Sydsjælland","4.0","Pct_q","Vacation house"
"1997K1"," Fyn","-1.8","Pct_q","Vacation house"
"1997K1"," Sydjylland","1.9","Pct_q","Vacation house"
"1997K1"," Østjylland","6.0","Pct_q","Vacation house"
"1997K1"," Vestjylland","3.3","Pct_q","Vacation house"
"1997K1"," Nordjylland","2.4","Pct_q","Vacation house"
"1997K2","Hele landet","2.3","Pct_q","Vacation house"
"1997K2"," Byen København","0.0","Pct_q","Vacation house"
"1997K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1997K2"," Nordsjælland","1.3","Pct_q","Vacation house"
"1997K2"," Bornholm","0.0","Pct_q","Vacation house"
"1997K2"," Østsjælland","10.5","Pct_q","Vacation house"
"1997K2"," Vest- og Sydsjælland","3.1","Pct_q","Vacation house"
"1997K2"," Fyn","5.8","Pct_q","Vacation house"
"1997K2"," Sydjylland","0.7","Pct_q","Vacation house"
"1997K2"," Østjylland","4.2","Pct_q","Vacation house"
"1997K2"," Vestjylland","-0.6","Pct_q","Vacation house"
"1997K2"," Nordjylland","3.2","Pct_q","Vacation house"
"1997K3","Hele landet","1.1","Pct_q","Vacation house"
"1997K3"," Byen København","0.0","Pct_q","Vacation house"
"1997K3"," Københavns omegn","0.0","Pct_q","Vacation house"
